elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,classification/accuracy,classification/weighted_f1_score,model,n_epochs,batch_size,learning_rate_multiplier,classification_n_classes,compute_classification_metrics,aoai_endpoint,api_version,fine_tune_id,fine_tuned_model
39320.0,152.0,0.1398989958953902,0.25,0.25,0.4454887211322784,0.3182053421253396,curie,5,4,0.23696211585397303,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-aa92460b93d34a2cb6f0a3d904918968,curie.ft-aa92460b93d34a2cb6f0a3d904918968
152968.0,584.0,0.0403160129797105,1.0,1.0,0.4492481350898742,0.4064052455411671,ada,20,4,0.09223066440078172,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-c143f09b674c4ad49aec4b5f8aa94657,ada.ft-c143f09b674c4ad49aec4b5f8aa94657
76936.0,296.0,0.0655844357916043,0.75,0.75,0.5413534045219421,0.5261441815463678,babbage,10,4,0.23117924015115673,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-7ecebf1791f44d06b73a496e1bcb39c0,babbage.ft-7ecebf1791f44d06b73a496e1bcb39c0
77736.0,296.0,0.059250285038202,0.75,0.75,0.4699248075485229,0.461889611573293,babbage,10,4,0.22466766925848716,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-b0025c8aca9c4e19aec07704152b4562,babbage.ft-b0025c8aca9c4e19aec07704152b4562
76840.0,296.0,0.0541209100823053,0.25,0.25,0.4567669034004211,0.4020142347210016,ada,10,4,0.17481565738565202,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-fc927a68b11644db8a04ae2fd7553caf,ada.ft-fc927a68b11644db8a04ae2fd7553caf
76488.0,296.0,0.0736874108735936,0.75,0.75,0.5263158082962036,0.485507752992578,ada,10,4,0.17423939247917097,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-f499c3789bbd4e20b4249e8d3b50ea48,ada.ft-f499c3789bbd4e20b4249e8d3b50ea48
75748.0,292.0,0.0894724480112338,0.25,0.25,0.4624060094356537,0.4500155484461393,ada,10,4,0.17562464751739573,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-8ca6cd3abea14949aafe64f61fef26c1,ada.ft-8ca6cd3abea14949aafe64f61fef26c1
75784.0,296.0,0.0688899836764401,0.75,0.75,0.4624060094356537,0.4221432587077468,ada,10,4,0.18143546279800637,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-97c76899472e4073a064e7802601115f,ada.ft-97c76899472e4073a064e7802601115f
77128.0,296.0,0.0655960017794939,0.5,0.5,0.4379699230194092,0.4047527445335239,ada,10,4,0.2069007891707519,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-93e46a17ffc042faa969d257d9ce3f44,ada.ft-93e46a17ffc042faa969d257d9ce3f44
77260.0,300.0,0.0741817905950879,0.75,0.75,0.4154135286808014,0.3690882535392294,ada,10,4,0.21507164194879103,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-15f3f12bfe9e44408a9beddc5aac917b,ada.ft-15f3f12bfe9e44408a9beddc5aac917b
